gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
106	23	106	30	1
106	23	106	33	1
106	23	177	44	1
106	23	226	3	2
106	23	226	35	1
106	23	226	70	1
106	24	106	8	4
106	24	106	9	1
106	24	106	10	5
106	24	106	12	1
106	24	106	15	1
106	24	106	16	1
106	24	106	18	1
106	24	106	22	1
106	24	106	30	1
106	24	106	32	1
106	24	106	33	3
106	24	136	1	7
106	24	136	9	1
106	24	136	10	2
106	24	136	12	11
106	24	226	3	2
106	24	226	35	1
106	26	39	21	1
106	26	106	2	9
106	26	106	4	8
106	26	106	6	3
106	26	106	8	41
106	26	106	10	16
106	26	106	11	5
106	26	106	12	6
106	26	106	13	3
106	26	106	14	1
106	26	106	16	1
106	26	106	21	3
106	26	106	22	2
106	26	106	23	2
106	26	106	27	2
106	26	106	28	3
106	26	106	29	1
106	26	106	30	3
106	26	106	31	2
106	26	106	32	4
106	26	106	33	2
106	26	136	9	1
106	26	136	12	1
106	26	177	17	1
106	26	177	40	1
106	26	177	47	2
106	26	203	0	1
106	26	226	3	5
106	26	226	65	1
106	26	247	2	1
106	26	247	4	1
106	27	106	8	3
106	27	106	10	14
106	27	106	12	4
106	27	106	21	1
106	27	106	22	3
106	27	106	26	2
106	27	106	28	1
106	27	106	29	2
106	27	106	32	1
106	27	106	33	1
106	27	136	12	2
106	27	177	40	1
106	27	203	0	1
106	28	106	8	4
106	28	106	10	6
106	28	106	12	2
106	28	106	26	3
106	28	106	27	1
106	28	106	33	1
106	28	136	9	2
106	29	106	6	2
106	29	106	8	5
106	29	106	10	13
106	29	106	11	1
106	29	106	12	3
106	29	106	20	1
106	29	106	23	1
106	29	106	26	1
106	29	106	27	2
106	29	106	30	2
106	29	106	33	7
106	29	136	9	1
106	29	136	12	2
106	29	154	14	1
106	29	177	25	1
106	29	203	0	1
106	29	226	3	3
106	29	226	9	1
106	30	106	1	1
106	30	106	2	2
106	30	106	4	4
106	30	106	5	1
106	30	106	6	2
106	30	106	8	11
106	30	106	9	1
106	30	106	10	16
106	30	106	11	5
106	30	106	12	8
106	30	106	13	2
106	30	106	14	1
106	30	106	21	2
106	30	106	22	1
106	30	106	23	1
106	30	106	24	1
106	30	106	26	3
106	30	106	29	2
106	30	106	31	1
